clustID,cluster_confidence,uniprotACCs
huMAP3_00302.1,1,O43909 Q16394
huMAP3_00303.1,1,P14543 P28300 P78536 Q16635 Q5SZK8 Q6UVY6 Q9P2K2
huMAP3_00304.1,1,P48052 Q14393
huMAP3_00305.1,1,Q56A73 Q86U90 Q9BPZ2 Q9BUA3 Q9NQW7 Q9Y657
huMAP3_00306.1,1,Q53EP0 Q96IP4 Q9Y2H6
huMAP3_00307.1,1,P05814 Q8NCT3 Q9HCB6
huMAP3_00308.1,1,Q16864 Q8IYS2
huMAP3_00309.1,1,O60306 O60508 P41223 Q13573 Q69YN2 Q96AT1 Q96DF8 Q96NB3 Q9BQ65 Q9UNP9 Q9Y3C6
huMAP3_00310.1,1,P61077 P62837 Q96BH1
huMAP3_00311.1,1,O43490 Q5TH69 Q8N7X8 Q96BI3 Q9UJA9
huMAP3_00312.1,1,Q14376 Q96B18
huMAP3_00313.1,1,P14324 Q6PIW4
huMAP3_00314.1,1,P29279 Q09472
huMAP3_00315.1,1,P51460 Q96GL9
huMAP3_00316.1,1,Q7Z7B0 Q9ULQ0
huMAP3_00317.1,1,P12319 Q8N371 Q9H114
huMAP3_00318.1,1,O15062 O95714 Q96LW4 Q96T17 Q9BXG8 Q9HBT8
huMAP3_00319.1,1,Q5VW36 Q9ULX3
huMAP3_00320.1,1,P15907 Q5TH69
huMAP3_00321.1,1,P48147 Q9Y2V2
huMAP3_00322.1,1,Q9NZD1 Q9NZV5
huMAP3_00323.1,1,Q8N998 Q96Q89
huMAP3_00324.1,1,P86479 Q2M3D2 Q8IUQ4 Q96MG2
huMAP3_00325.1,1,P02545 P20700 Q03252
huMAP3_00326.1,1,O75449 Q9BVA0
huMAP3_00327.1,1,Q3V5L5 Q6ZWE6 Q96AB6
huMAP3_00328.1,1,A0PK11 O43570 P0CG47 Q8IZ81
huMAP3_00329.1,1,O14545 O15119 O43681 P11441 Q9BQE5
huMAP3_00330.1,1,P21583 Q14012
huMAP3_00331.1,1,P0CG47 Q8NGN2 Q8NGP6 Q8WV99
huMAP3_00332.1,1,O14734 P08582 P16260
huMAP3_00333.1,1,Q3KQZ1 Q99677
huMAP3_00334.1,1,O75072 Q9Y2B1
huMAP3_00335.1,1,P14735 P31274
huMAP3_00336.1,1,Q04760 Q5TGP6
huMAP3_00337.1,1,P0C7X2 Q9UKN8
huMAP3_00338.1,1,Q5T749 Q92185
huMAP3_00339.1,1,Q86SX6 Q9Y3E2
huMAP3_00340.1,1,O00522 O14713 O14829 Q9BSQ5 Q9H1K6
huMAP3_00341.1,1,O15547 Q9UKQ9
huMAP3_00342.1,1,O75309 P08887 Q9NW38
huMAP3_00343.1,1,P50876 P62253
huMAP3_00344.1,1,O60504 Q9NY26
huMAP3_00345.1,1,A6NIH7 O95238 Q13432 Q717R9 Q969K3 Q96DX4 Q96QS6 Q9C0B2 Q9ULE6 Q9Y250
huMAP3_00346.1,1,P17658 Q99536
huMAP3_00347.1,1,P49756 Q05519 Q6NYC1 Q9P1Y6 Q9UHX1
huMAP3_00348.1,1,A6NKK0 Q06055
huMAP3_00349.1,1,O95758 P26599 Q14258 Q9UKA9
huMAP3_00350.1,1,P42857 Q9H1M3
huMAP3_00351.1,1,O95461 Q03405 Q13751 Q8TB37
huMAP3_00352.1,1,Q2TBE0 Q9HCS7
huMAP3_00353.1,1,Q71H61 Q9H5Y7 Q9Y5F7
huMAP3_00354.1,1,P04746 P19961 Q8N446
huMAP3_00355.1,1,O00305 P54284 Q08289 Q8N350
huMAP3_00356.1,1,O14818 O95456 P20618 P25786 P25787 P25788 P25789 P28062 P28065 P28066 P28070 P28072 P28074 P40306 P49720 P49721 P60900 P61289 Q06323 Q14997 Q53H80 Q5JS54 Q8TAA3 Q92530 Q969U7 Q99436 Q9BT73 Q9GZU8 Q9H9L7 Q9P0P0 Q9UL46 Q9Y244 Q9Y3I1
huMAP3_00357.1,1,Q14699 Q2TAZ0 Q9HAC8 Q9Y484
huMAP3_00358.1,1,P28702 Q96RI1
huMAP3_00359.1,1,P05000 Q10589
huMAP3_00360.1,1,O94929 Q9BUY5
huMAP3_00361.1,1,O95436 P11233 Q13336 Q53TN4
huMAP3_00362.1,1,O94827 P63104 Q9Y4H4
huMAP3_00363.1,1,Q96JT2 Q9HB96
huMAP3_00364.1,1,A3KN83 O75460 Q7Z5A9 Q92698 Q96HA8 Q9H4I2 Q9Y2R2
